id,antecedent_name,consequent_name,created_at,status
1253,video_camera,camera,,active
1254,sir_fratley,final_fantasy_ix,,active
1255,log,wood,,active
1256,cub,young,,deleted
1259,spread_anus,spreading,,active
1260,spread_butt,spreading,,active
1261,worgen,warcraft,,active
1265,micro_on_macro,micro,,active
1266,micro_on_macro,macro,,active
1268,micro_on_macro,size_difference,,active
1271,cocaine,drugs,,active
1272,marijuana,drugs,,active
1273,ink-eyes,magic:_the_gathering,,active
1276,tank_top,shirt,,active
1277,skeleton,bone,,active
1278,feeldoe,double_dildo,,active
1279,grim_reaper,death_(personification),,active
1280,death_of_rats,grim_reaper,,active
1283,lich_king,lich,,active
1284,left_4_dead_(series),valve,,active
1285,portal_(series),valve,,active
1286,mickey_mouse,disney,,active
1287,simba_(disambiguation),the_lion_king,,deleted
1288,nala_(disambiguation),the_lion_king,,deleted
1289,sarabi_(disambiguation),the_lion_king,,deleted
1290,mufasa,the_lion_king,,active
1291,zazu_(disambiguation),the_lion_king,,deleted
1292,timon,the_lion_king,,active
1294,kovu_(disambiguation),the_lion_king,,deleted
1295,kiara_(disambiguation),the_lion_king,,deleted
1296,vitani_(disambiguation),the_lion_king,,deleted
1297,pumbaa,the_lion_king,,active
1298,mario_bros,nintendo,,active
1301,bondage,bound,,active
1304,turret_(portal),portal_(series),,active
1305,necromancer,magic_user,,active
1306,shaman,tribal_spellcaster,,active
1307,druid,tribal_spellcaster,,active
1308,witch_doctor,tribal_spellcaster,,active
1312,witch,magic_user,,active
1315,holy_spellcaster,magic_user,,active
1316,tribal_spellcaster,magic_user,,active
1317,spyro,spyro_the_dragon,,active
1318,cynder,spyro_the_dragon,,active
1319,clitoris_piercing,clitoris,,active
1320,fucking_machine,machine,,active
1321,turret,machine,,active
1322,turret_(portal),robot,,active
1323,robot,machine,,active
1324,space_shuttle,spacecraft,,active
1325,statue,sculpture,,active
1326,sand_castle,sculpture,,active
1331,penis_piercing,genital_piercing,,active
1334,scrotum_piercing,genital_piercing,,active
1336,sheath_piercing,genital_piercing,,active
1337,glans_piercing,penis_piercing,,active
1338,bridge_piercing,nose_piercing,,active
1339,muzzle_piercing,nose_piercing,,active
1340,wing_piercing,furry-specific_piercing,,active
1341,tail_piercing,furry-specific_piercing,,active
1342,claw_piercing,furry-specific_piercing,,active
1343,horn_piercing,furry-specific_piercing,,active
1344,muzzle_piercing,furry-specific_piercing,,active
1345,tentacle_piercing,furry-specific_piercing,,active
1346,nose_piercing,facial_piercing,,active
1347,lip_piercing,facial_piercing,,active
1348,eyebrow_piercing,facial_piercing,,active
1349,septum_piercing,nose_piercing,,active
1350,corset_piercing,surface_piercing,,active
1355,sheath_piercing,furry-specific_piercing,,active
1356,fin_piercing,furry-specific_piercing,,active
1357,furry-specific_piercing,piercing,,active
1358,balto,balto_(series),,active
1359,daxter,jak_and_daxter,,active
1360,bondage,bdsm,,active
1361,shopped,third-party_edit,,active
1362,photomorph,photo_manipulation,,active
1363,photo_manipulation,third-party_edit,,deleted
1367,cellphone,phone,,active
1369,dipper,avoid_posting,,active
1376,serval,feline,,active
1377,lynx,feline,,active
1384,flora_(twokinds),twokinds,,active
1386,leo_(vg_cats),vg_cats,,active
1388,genital_piercing,piercing,,active
1390,blooregard_q._kazoo,foster's_home_for_imaginary_friends,,deleted
1392,water_creature,elemental_creature,,active
1393,fire_creature,elemental_creature,,active
1395,hindpaw,paws,,active
1396,16:10,widescreen,,active
1397,16:9,widescreen,,active
1400,monster_girl_profile,monster_girl_(genre),,active
1401,monster_girl_profile,text,,active
1402,doffa,avoid_posting,,active
1403,pegasi_guard_(mlp),royal_guard_(mlp),,active
1404,egophiliac,avoid_posting,,active
1405,wing_boner,wings,,active
1406,double_anal,anal_penetration,,active
1409,rouge_the_bat,sonic_the_hedgehog_(series),,active
1410,rigby_(regular_show),regular_show,,active
1411,under_boob,breasts,,active
1412,cream_the_rabbit,sonic_the_hedgehog_(series),,active
1413,lara_croft,tomb_raider,,active
1417,xenomorph,alien_(franchise),,active
1418,vaginal_prolapse,prolapse,,active
1419,anal_prolapse,prolapse,,active
1420,gastric_prolapse,prolapse,,active
1421,arms_tied,bound,,active
1424,turret_(portal),turret,,active
1425,turret_gun,turret,,active
1426,nightweaver,avoid_posting,,active
1430,liz_day,avoid_posting,,active
1431,kylontario,avoid_posting,,active
1437,dracolich,lich,,active
1444,cthulhu,cthulhu_mythos,,active
1445,yog-sothoth,cthulhu_mythos,,active
1446,aphoom-zhah,cthulhu_mythos,,active
1447,shub-niggurath,cthulhu_mythos,,active
1448,cthulhu_mythos,h._p._lovecraft,,active
1449,ear_nom,nom,,active
1450,tail_nom,nom,,active
1452,after_vore,vore,,active
1453,hard_vore,vore,,active
1454,soft_vore,vore,,active
1466,auto_vore,vore,,active
1486,toothless,how_to_train_your_dragon,,active
1487,night_fury,how_to_train_your_dragon,,deleted
1488,night_fury,western_dragon,,deleted
1491,amy_rose,sonic_the_hedgehog_(series),,active
1492,jet_the_hawk,sonic_riders,,active
1493,storm_the_albatross,sonic_riders,,active
1494,wave_the_swallow,sonic_riders,,active
1495,sonic_riders,sonic_the_hedgehog_(series),,active
1496,space_jam,warner_brothers,,active
1497,bugs_bunny,looney_tunes,,active
1498,daffy_duck,looney_tunes,,active
1499,porky_pig,looney_tunes,,active
1500,sylvester_(disambiguation),looney_tunes,,deleted
1501,speedy_gonzales,looney_tunes,,active
1502,tweety_bird,looney_tunes,,active
1503,marvin_the_martian,looney_tunes,,active
1504,elmer_fudd,looney_tunes,,active
1506,wile_e._coyote,looney_tunes,,active
1508,foghorn_leghorn,looney_tunes,,active
1509,petunia_pig,looney_tunes,,active
1510,tasmanian_devil_(looney_tunes),looney_tunes,,active
1512,penelope_pussycat_(looney_tunes),looney_tunes,,active
1514,looney_tunes,warner_brothers,,active
1517,bow_(weapon),ranged_weapon,,active
1519,crossbow,ranged_weapon,,active
1521,gun,ranged_weapon,,active
1524,ranged_weapon,weapon,,active
1527,long_tongue,tongue,,active
1528,master_tigress,kung_fu_panda,,active
1529,vanilla_the_rabbit,sonic_the_hedgehog_(series),,active
1531,zerwolf,avoid_posting,,active
1537,tentacle_rape,tentacles,,active
1538,draenei,warcraft,,active
1539,nidoran♀,nidoran,,active
1540,nidoran♂,nidoran,,active
1545,pinkamena_(mlp),pinkie_pie_(mlp),,active
1546,human_on_anthro,human,,active
1552,hyper_breasts,huge_breasts,,active
1553,huge_breasts,big_breasts,,active
1555,vaginal_fingering,vaginal,,active
1556,vaginal_fingering,fingering,,active
1557,tongue_out,tongue,,active
1558,torn_clothing,clothing,,active
1559,torn_shirt,torn_topwear,,active
1560,torn_jeans,torn_pants,,active
1562,torn_pants,pants,,active
1563,torn_jeans,jeans,,active
1564,torn_shirt,shirt,,active
1565,shirt,topwear,,active
1566,pants,bottomwear,,active
1567,shorts,bottomwear,,active
1568,playing_card,card,,active
1569,tarot_card,card,,active
1570,tarot,tarot_card,,deleted
1571,tarot,fortune_telling,,deleted
1574,redadillio,avoid_posting,,active
1576,reverse_gangbang,gangbang,,active
1577,gangbang,group_sex,,active
1578,orgy,group_sex,,active
1579,group_sex,sex,,active
1580,tailsrulz,avoid_posting,,deleted
1581,pun,humor,,active
1582,humanized,human,,active
1583,reptilecynrik,avoid_posting,,active
1586,presenting_hindquarters,presenting,,active
1587,presenting_hindquarters,butt,,active
1588,fluffball,avoid_posting,,active
1589,kipcha,avoid_posting,,active
1595,breast_squish,breasts,,active
1596,kululu-xiao,avoid_posting,,active
1597,birdo,mario_bros,,active
1600,lunacatta,avoid_posting,,active
1610,short_dress,dress,,active
1611,dress_lift,dress,,active
1612,evil_grin,smile,,active
1613,apron_only,apron,,active
1617,prince_blueblood_(mlp),friendship_is_magic,,active
1618,greyscale,monochrome,,active
1624,bandicoot,marsupial,,active
1627,crash_bandicoot,crash_bandicoot_(series),,active
1628,nightcrawler,x-men,,active
1630,witch_hat,hat,,active
1633,argonian,the_elder_scrolls,,active
1634,anubian_jackal,jackal,,active
1640,glasses,eyewear,,active
1641,sunglasses,eyewear,,active
1642,monocle,eyewear,,active
1644,goggles,eyewear,,active
1645,blinders,eyewear,,active
1646,eye_patch,eyewear,,active
1647,princess_daisy,mario_bros,,active
1649,argonian,scalie,,active
1650,khajiit,the_elder_scrolls,,active
1651,nazuu-m0nster,avoid_posting,,active
1655,disembodied_penis,male,,active
1657,msrah_(artist),avoid_posting,,active
1658,angel27,avoid_posting,,active
1659,spookeedoo,avoid_posting,,active
1660,kiirei,avoid_posting,,active
1662,winged_unicorn,horn,,active
1663,winged_unicorn,wings,,active
1665,kii-kitsune,avoid_posting,,active
1668,sidian,avoid_posting,,active
1669,skirt_lift,skirt,,active
1670,ashchu,pikachu,,active
1672,nosebleed,blood,,active
1673,spitroast,oral,,active
1676,hands-free,ejaculation,,active
1678,eyeshadow,makeup,,active
1680,braeburn_(mlp),friendship_is_magic,,active
